Référence vue sur idealo;Prix le plus bas vu (€);Classe;Titre de la tuile
DXV15T;145;variante absente;DeWalt DXV15T (15 L)
DXV15TA;153,8;variante absente;DeWalt DXV15TA Aspirateur Toolbox Sec et Humide 15L 1100W 240V (DXV15T
DXV20PA;105,65;variante absente;DeWalt DXV20PA Aspirateur Eau et Poussières 20L 1050W 240V (DXV20PA)
DXV20PB;300;variante absente;DeWalt DXV20PB
DXV20PTA;190,57;variante absente;DeWalt DXV20PTA
DXV23GA;267,7;variante absente;DeWalt DXV23GA Aspirateur Eau et Poussières 1100W 23L (DXV23GA)
DXV23PLPTA;183,93;variante absente;DeWalt DXV23PLPTA
FVK271X2-QW;1098;variante absente;DeWalt Kit FVK271X2-QW 54V/18V (3071)
FVK381T2HD-QW;1195;variante absente;DeWalt Kit FVK381T2HD-QW 54V/18V (3060)
FVK381T3-QW;1283;variante absente;DeWALT Kit FVK381T3-QW 54V/18V (DCH333 + DCD796 + DCG418 + 3 x 6.0 Ah 
FVK381T3HD-QW;1327;variante absente;DeWalt Kit FVK381T3HD-QW 54V/18V (3062)
FVK381TST2HD-QW;1260;variante absente;DeWALT Kit FVK381TST2HD-QW 54V/18V (DCH333 + DCD996 + DCG418 + 2 x 6.0
FVK381TST3HD-QW;1399;variante absente;DeWALT Kit FVK381TST3HD-QW 54V/18V (DCH333 + DCD996 + DCG418 + 3 x 6.0
FVK381TSX2HD-QW;1257;variante absente;DeWalt Kit FVK381TSX2HD-QW 54V/18V (3086)
FVK381X3HD-QW;1327;variante absente;DeWalt FVK381X3HD-QW
